carrier_identity,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,carrier,carrier_name,carrier_key
AIRLINE_ID_19534,19534,AM,Aeromexico,9148B,AM,Aeromexico,AEROMEXICO
AIRLINE_ID_19393,19393,WN,Southwest Airlines Co.,11033,WN,Southwest Airlines Co.,BTS_AIRLINE_ID_19393
AIRLINE_ID_19531,19531,AC,Air Canada,9900A,AC,Air Canada,BTS_AIRLINE_ID_19531
AIRLINE_ID_19532,19532,AF,Compagnie Natl Air France,9427B,AF,Compagnie Natl Air France,BTS_AIRLINE_ID_19532
AIRLINE_ID_19540,19540,BA,British Airways Plc,9493E,BA,British Airways Plc,BTS_AIRLINE_ID_19540
AIRLINE_ID_19543,19543,CA,Air China,9713A,CA,Air China,BTS_AIRLINE_ID_19543
AIRLINE_ID_19545,19545,CV,Cargolux Airlines International S.A,9454A,CV,Cargolux Airlines International S.A,BTS_AIRLINE_ID_19545
AIRLINE_ID_19547,19547,IB,Iberia Air Lines Of Spain,9482B,IB,Iberia Air Lines Of Spain,BTS_AIRLINE_ID_19547
AIRLINE_ID_19550,19550,KE,Korean Air Lines Co. Ltd.,9778A,KE,Korean Air Lines Co. Ltd.,BTS_AIRLINE_ID_19550
AIRLINE_ID_19552,19552,LA,LATAM Airlines Group SA dba Lan Airlines,9324B,LA,LATAM Airlines Group SA dba Lan Airlines,BTS_AIRLINE_ID_19552
AIRLINE_ID_19552,19552,LA,LATAM Airlines Group SA dba Lan Airlines,9324B,LA,Lan-Chile Airlines,BTS_AIRLINE_ID_19552
AIRLINE_ID_19554,19554,LH,Lufthansa German Airlines,9429D,LH,Lufthansa German Airlines,BTS_AIRLINE_ID_19554
AIRLINE_ID_19555,19555,LO,Polskie Linie Lotnicze,9467A,LO,Polskie Linie Lotnicze,BTS_AIRLINE_ID_19555
AIRLINE_ID_19682,19682,VS,Virgin Atlantic Airways,9493K,VS,Virgin Atlantic Airways,BTS_AIRLINE_ID_19682
AIRLINE_ID_19687,19687,QX,Horizon Air,11023,QX,Horizon Air,BTS_AIRLINE_ID_19687
AIRLINE_ID_19690,19690,HA,Hawaiian Airlines Inc.,15375,HA,Hawaiian Airlines Inc.,BTS_AIRLINE_ID_19690
AIRLINE_ID_19779,19779,CX,Cathay Pacific Airways Ltd.,9729A,CX,Cathay Pacific Airways Ltd.,BTS_AIRLINE_ID_19779
AIRLINE_ID_19805,19805,AA,American Airlines Inc.,10050,AA,American Airlines Inc.,BTS_AIRLINE_ID_19805
AIRLINE_ID_19821,19821,TK,Turk Hava Yollari A.O.,9679A,TK,Turk Hava Yollari A.O.,BTS_AIRLINE_ID_19821
AIRLINE_ID_19830,19830,KZ,Nippon Cargo Airlines,9736D,KZ,Nippon Cargo Airlines,BTS_AIRLINE_ID_19830
AIRLINE_ID_19917,19917,5X,United Parcel Service,16911,5X,United Parcel Service,BTS_AIRLINE_ID_19917
AIRLINE_ID_19917,19917,5X,United Parcel Service,16912,5X,United Parcel Service,BTS_AIRLINE_ID_19917
AIRLINE_ID_19930,19930,AS,Alaska Airlines Inc.,16031,AS,Alaska Airlines Inc.,BTS_AIRLINE_ID_19930
AIRLINE_ID_19953,19953,QT,Transportes Aereos Mercantiles Panamericanos S.A,9327D,QT,Transportes Aereos Mercantiles Panamericanos S.A,BTS_AIRLINE_ID_19953
AIRLINE_ID_19961,19961,TS,Air Transat,9900C,TS,Air Transat,BTS_AIRLINE_ID_19961
AIRLINE_ID_19977,19977,UA,United Air Lines Inc.,10876,UA,United Air Lines Inc.,BTS_AIRLINE_ID_19977
AIRLINE_ID_20007,20007,5Y,Atlas Air Inc.,06087,5Y,Atlas Air Inc.,BTS_AIRLINE_ID_20007
AIRLINE_ID_20007,20007,5Y,Atlas Air Inc.,16087,5Y,Atlas Air Inc.,BTS_AIRLINE_ID_20007
AIRLINE_ID_20100,20100,PO,Polar Air Cargo Airways,16757,PO,Polar Air Cargo Airways,BTS_AIRLINE_ID_20100
AIRLINE_ID_20100,20100,PO,Polar Air Cargo Airways,16758,PO,Polar Air Cargo Airways,BTS_AIRLINE_ID_20100
AIRLINE_ID_20107,20107,FX,Federal Express Corporation,16195,FX,Federal Express Corporation,BTS_AIRLINE_ID_20107
AIRLINE_ID_20108,20108,NC,Northern Air Cargo Inc.,06721,NC,Northern Air Cargo Inc.,BTS_AIRLINE_ID_20108
AIRLINE_ID_20110,20110,ADB,Antonov Company,9488B,ADB,Antonov Company,BTS_AIRLINE_ID_20110
AIRLINE_ID_20119,20119,UX,Air Europa,9482A,UX,Air Europa,BTS_AIRLINE_ID_20119
AIRLINE_ID_20120,20120,DE,Condor Flugdienst,9429A,DE,Condor Flugdienst,BTS_AIRLINE_ID_20120
AIRLINE_ID_20133,20133,CZ,China Southern Airlines,9713C,CZ,China Southern Airlines,BTS_AIRLINE_ID_20133
AIRLINE_ID_20140,20140,CC,Air Atlanta Icelandic,9439B,CC,Air Atlanta Icelandic,BTS_AIRLINE_ID_20140
AIRLINE_ID_20148,20148,MP,Martinair Holland N.V.,9461B,MP,Martinair Holland N.V.,BTS_AIRLINE_ID_20148
AIRLINE_ID_20149,20149,PRQ,Florida West Airlines Inc.,16198,PRQ,Florida West Airlines Inc.,BTS_AIRLINE_ID_20149
AIRLINE_ID_20151,20151,M6,Amerijet International,16052,M6,Amerijet International,BTS_AIRLINE_ID_20151
AIRLINE_ID_20156,20156,M3,ABSA-Aerolinhas Brasileiras,9316E,M3,ABSA-Aerolinhas Brasileiras,BTS_AIRLINE_ID_20156
AIRLINE_ID_20166,20166,GFQ,Gulf And Caribbean Cargo,16565,GFQ,Gulf And Caribbean Cargo,BTS_AIRLINE_ID_20166
AIRLINE_ID_20167,20167,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,9316F,JJ,Transportes Aeros Meridiona,BTS_AIRLINE_ID_20167
AIRLINE_ID_20169,20169,L2,Lynden Air Cargo Airlines,06699,L2,Lynden Air Cargo Airlines,BTS_AIRLINE_ID_20169
AIRLINE_ID_20169,20169,L2,Lynden Air Cargo Airlines,11040,L2,Lynden Air Cargo Airlines,BTS_AIRLINE_ID_20169
AIRLINE_ID_20188,20188,LP,Lan Peru Airlines,9368E,LP,Lan Peru Airlines,BTS_AIRLINE_ID_20188
AIRLINE_ID_20195,20195,WI,Sky Lease Cargo,16884,WI,Sky Lease Cargo,BTS_AIRLINE_ID_20195
AIRLINE_ID_20201,20201,AMQ,Ameristar Air Cargo,16057,AMQ,Ameristar Air Cargo,BTS_AIRLINE_ID_20201
AIRLINE_ID_20203,20203,FCQ,Falcon Air Express,16400,FCQ,Falcon Air Express,BTS_AIRLINE_ID_20203
AIRLINE_ID_20207,20207,XP,TEM Enterprises dba  Avelo Airlines,06144,XP,TEM Enterprises dba  Avelo Airlines,BTS_AIRLINE_ID_20207
AIRLINE_ID_20207,20207,XP,TEM Enterprises dba  Avelo Airlines,06144,XP,XTRA Airways,BTS_AIRLINE_ID_20207
AIRLINE_ID_20207,20207,XP,TEM Enterprises dba  Avelo Airlines,11034,XP,XTRA Airways,BTS_AIRLINE_ID_20207
AIRLINE_ID_20207,20207,XP,TEM Enterprises dba  Avelo Airlines,16144,XP,TEM Enterprises dba  Avelo Airlines,BTS_AIRLINE_ID_20207
AIRLINE_ID_20222,20222,E7,Estafeta Carga Aereas,9148U,E7,Estafeta Carga Aereas,BTS_AIRLINE_ID_20222
AIRLINE_ID_20229,20229,WS,Westjet,9900Y,WS,Westjet,BTS_AIRLINE_ID_20229
AIRLINE_ID_20250,20250,5D,Aerolitoral,9148W,5D,Aerolitoral,BTS_AIRLINE_ID_20250
AIRLINE_ID_20304,20304,OO,SkyWest Airlines Inc.,11025,OO,SkyWest Airlines Inc.,BTS_AIRLINE_ID_20304
AIRLINE_ID_20308,20308,WE,Centurion Cargo Inc.,16180,WE,Centurion Cargo Inc.,BTS_AIRLINE_ID_20308
AIRLINE_ID_20310,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",16076,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",BTS_AIRLINE_ID_20310
AIRLINE_ID_20310,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",16076,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",BTS_AIRLINE_ID_20310
