canonical_model,raw_model,carrier_key,seats_point,seats_low,seats_high,point_method,primary_source_url,secondary_source_url,notes
E190,Embraer 190,AEROMEXICO_CONNECT,99,99,99,reported_configuration,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,,Aeromexico reports 99 seats for the E190.
B737-800,Boeing 737-800,AEROMEXICO,173,160,186,midpoint_of_documented_layout_range,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,https://seatmap.org/en/airlines/aeromexico,The official filing reports up to 186 seats; the reviewed seat-map inventory identifies 160- and 186-seat layouts.
B737-MAX8,Boeing 737 MAX 8,AEROMEXICO,170,162,178,midpoint_of_official_range,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,,Official configured-capacity range is 162-178.
B737-MAX9,Boeing 737 MAX 9,AEROMEXICO,185.5,178,193,midpoint_of_official_range,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,,Official configured-capacity range is 178-193.
B737-MAX9,Boeing 737-900,AEROMEXICO,185.5,178,193,provider_alias_to_operating_fleet,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,https://www.globenewswire.com/news-release/2026/07/13/3326490/0/en/Aerom%C3%A9xico-Reports-Unaudited-Second-Quarter-2026-Results.html,Aeromexico reports no 737-900NG in its operating fleet; provider registrations labelled 737-900 belong to the MAX 9 fleet family.
B737-MIX,Boeing 737,AEROMEXICO,175.7,160,193,q2_2026_fleet_weighted_midpoint,https://www.globenewswire.com/news-release/2026/07/13/3326490/0/en/Aerom%C3%A9xico-Reports-Unaudited-Second-Quarter-2026-Results.html,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,Used only when AeroDataBox does not identify the 737 subtype; point weights 34 B737-800 47 MAX 8 and 30 MAX 9 aircraft.
B787-8,Boeing 787-8,AEROMEXICO,243,243,243,reported_configuration,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,,Aeromexico reports 243 seats.
B787-8,Boeing 787-800,AEROMEXICO,243,243,243,provider_alias,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,,Provider alias normalized to 787-8.
B787-9,Boeing 787-9,AEROMEXICO,274,274,274,reported_configuration,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,,Aeromexico reports 274 seats.
B787-9,Boeing 787-900,AEROMEXICO,274,274,274,provider_alias,https://www.sec.gov/Archives/edgar/data/1561861/000119312526197494/d101275d20f.htm,,Provider alias normalized to 787-9.
