period_id,carrier_name,pasajeros
2024M01,Aeroméxico (Aerovías de México),848299
2024M01,Aeroméxico Connect (Aerolitoral),427791
2024M01,Aerus,1406
2024M01,Aéreo Calafia,1102
2024M01,Magnicharters (Grupo Aéreo Monterrey),14046
2024M01,Mexicana (Aerolínea del Estado Mexicano),12504
2024M01,Transportes Aéreos Regionales (TAR),12424
2024M01,Vivaaerobus (Aeroenlaces),1817338
2024M01,Volaris (Concesionaria Vuela Cia de Aviación),1672113
2024M02,Aeroméxico (Aerovías de México),962332
2024M02,Aeroméxico Connect (Aerolitoral),333392
2024M02,Aerus,1212
2024M02,Aéreo Calafia,703
2024M02,Magnicharters (Grupo Aéreo Monterrey),11161
2024M02,Mexicana (Aerolínea del Estado Mexicano),17287
2024M02,Transportes Aéreos Regionales (TAR),11349
2024M02,Vivaaerobus (Aeroenlaces),1606678
2024M02,Volaris (Concesionaria Vuela Cia de Aviación),1445508
2024M03,Aeroméxico (Aerovías de México),1065250
2024M03,Aeroméxico Connect (Aerolitoral),331411
2024M03,Aerus,1266
2024M03,Aéreo Calafia,985
2024M03,Magnicharters (Grupo Aéreo Monterrey),16310
2024M03,Mexicana (Aerolínea del Estado Mexicano),24140
2024M03,Transportes Aéreos Regionales (TAR),11320
2024M03,Vivaaerobus (Aeroenlaces),1828429
2024M03,Volaris (Concesionaria Vuela Cia de Aviación),1582248
2024M04,Aeroméxico (Aerovías de México),1095315
2024M04,Aeroméxico Connect (Aerolitoral),369304
2024M04,Aerus,1293
2024M04,Aéreo Calafia,1018
2024M04,Magnicharters (Grupo Aéreo Monterrey),17123
2024M04,Mexicana (Aerolínea del Estado Mexicano),21899
2024M04,Transportes Aéreos Regionales (TAR),13242
2024M04,Vivaaerobus (Aeroenlaces),1838309
2024M04,Volaris (Concesionaria Vuela Cia de Aviación),1622076
2024M05,Aeroméxico (Aerovías de México),1149677
2024M05,Aeroméxico Connect (Aerolitoral),362332
2024M05,Aerus,1574
2024M05,Aéreo Calafia,820
2024M05,Magnicharters (Grupo Aéreo Monterrey),13929
2024M05,Mexicana (Aerolínea del Estado Mexicano),22186
2024M05,Transportes Aéreos Regionales (TAR),10844
2024M05,Vivaaerobus (Aeroenlaces),1974769
2024M05,Volaris (Concesionaria Vuela Cia de Aviación),1698713
2024M06,Aeroméxico (Aerovías de México),1067326
2024M06,Aeroméxico Connect (Aerolitoral),348714
2024M06,Aerus,1562
2024M06,Aéreo Calafia,744
2024M06,Magnicharters (Grupo Aéreo Monterrey),23110
2024M06,Mexicana (Aerolínea del Estado Mexicano),21518
2024M06,Transportes Aéreos Regionales (TAR),9672
2024M06,Vivaaerobus (Aeroenlaces),1949129
2024M06,Volaris (Concesionaria Vuela Cia de Aviación),1711640
2024M07,Aeroméxico (Aerovías de México),1187305
2024M07,Aeroméxico Connect (Aerolitoral),377651
2024M07,Aerus,1962
2024M07,Aéreo Calafia,972
2024M07,Magnicharters (Grupo Aéreo Monterrey),25726
2024M07,Mexicana (Aerolínea del Estado Mexicano),35662
2024M07,Transportes Aéreos Regionales (TAR),11529
2024M07,Vivaaerobus (Aeroenlaces),2164936
2024M07,Volaris (Concesionaria Vuela Cia de Aviación),1884371
2024M08,Aeroméxico (Aerovías de México),1177398
2024M08,Aeroméxico Connect (Aerolitoral),342905
2024M08,Aerus,2334
2024M08,Magnicharters (Grupo Aéreo Monterrey),23287
2024M08,Mexicana (Aerolínea del Estado Mexicano),32823
2024M08,Transportes Aéreos Regionales (TAR),13091
2024M08,Vivaaerobus (Aeroenlaces),2140923
2024M08,Volaris (Concesionaria Vuela Cia de Aviación),1859134
2024M09,Aeroméxico (Aerovías de México),1081648
2024M09,Aeroméxico Connect (Aerolitoral),281139
2024M09,Aerus,2666
2024M09,Magnicharters (Grupo Aéreo Monterrey),16595
2024M09,Mexicana (Aerolínea del Estado Mexicano),21490
2024M09,Transportes Aéreos Regionales (TAR),8152
2024M09,Vivaaerobus (Aeroenlaces),1921296
2024M09,Volaris (Concesionaria Vuela Cia de Aviación),1603335
2024M10,Aeroméxico (Aerovías de México),1120958
2024M10,Aeroméxico Connect (Aerolitoral),281273
2024M10,Aerus,2852
2024M10,Magnicharters (Grupo Aéreo Monterrey),18874
2024M10,Mexicana (Aerolínea del Estado Mexicano),22660
2024M10,Transportes Aéreos Regionales (TAR),9268
