carrier_name,mes,pasajeros
Aeroméxico (Aerovías de México),2025-01,1001252
Aeroméxico (Aerovías de México),2025-02,884567
Aeroméxico (Aerovías de México),2025-03,1015074
Aeroméxico Connect (Aerolitoral),2025-01,336680
Aeroméxico Connect (Aerolitoral),2025-02,295594
Aeroméxico Connect (Aerolitoral),2025-03,327589
Aerus,2025-01,2079
Aerus,2025-02,1631
Aerus,2025-03,2171
Magnicharters (Grupo Aéreo Monterrey),2025-01,11376
Magnicharters (Grupo Aéreo Monterrey),2025-02,7942
Magnicharters (Grupo Aéreo Monterrey),2025-03,12552
Mexicana (Aerolínea del Estado Mexicano),2025-01,33325
Mexicana (Aerolínea del Estado Mexicano),2025-02,19987
Mexicana (Aerolínea del Estado Mexicano),2025-03,27996
Transportes Aéreos Regionales (TAR),2025-01,15081
Transportes Aéreos Regionales (TAR),2025-02,13617
Transportes Aéreos Regionales (TAR),2025-03,17392
Vivaaerobus (Aeroenlaces),2025-01,1940649
Vivaaerobus (Aeroenlaces),2025-02,1714594
Vivaaerobus (Aeroenlaces),2025-03,2025222
Volaris (Concesionaria Vuela Cia de Aviación),2025-01,1733172
Volaris (Concesionaria Vuela Cia de Aviación),2025-02,1543236
Volaris (Concesionaria Vuela Cia de Aviación),2025-03,1816272
