period_id,carrier_name,vuelos
2025M01,Aeroméxico (Aerovías de México),7185
2025M01,Aeroméxico Connect (Aerolitoral),4191
2025M01,Aerus,456
2025M01,Magnicharters (Grupo Aéreo Monterrey),129
2025M01,Mexicana (Aerolínea del Estado Mexicano),316
2025M01,Transportes Aéreos Regionales (TAR),709
2025M01,Vivaaerobus (Aeroenlaces),13074
2025M01,Volaris (Concesionaria Vuela Cia de Aviación),10861
2025M02,Aeroméxico (Aerovías de México),6626
2025M02,Aeroméxico Connect (Aerolitoral),3728
2025M02,Aerus,348
2025M02,Magnicharters (Grupo Aéreo Monterrey),120
2025M02,Mexicana (Aerolínea del Estado Mexicano),266
2025M02,Transportes Aéreos Regionales (TAR),691
2025M02,Vivaaerobus (Aeroenlaces),11519
2025M02,Volaris (Concesionaria Vuela Cia de Aviación),9389
2025M03,Aeroméxico (Aerovías de México),7353
2025M03,Aeroméxico Connect (Aerolitoral),4001
2025M03,Aerus,428
2025M03,Magnicharters (Grupo Aéreo Monterrey),152
2025M03,Mexicana (Aerolínea del Estado Mexicano),320
2025M03,Transportes Aéreos Regionales (TAR),767
2025M03,Vivaaerobus (Aeroenlaces),13014
2025M03,Volaris (Concesionaria Vuela Cia de Aviación),10963
2025M04,Aeroméxico (Aerovías de México),7100
2025M04,Aeroméxico Connect (Aerolitoral),4037
2025M04,Aerus,471
2025M04,Magnicharters (Grupo Aéreo Monterrey),182
2025M04,Mexicana (Aerolínea del Estado Mexicano),376
2025M04,Transportes Aéreos Regionales (TAR),841
2025M04,Vivaaerobus (Aeroenlaces),13674
2025M04,Volaris (Concesionaria Vuela Cia de Aviación),11504
2025M05,Aeroméxico (Aerovías de México),7424
2025M05,Aeroméxico Connect (Aerolitoral),4092
2025M05,Aerus,476
2025M05,Magnicharters (Grupo Aéreo Monterrey),183
2025M05,Mexicana (Aerolínea del Estado Mexicano),366
2025M05,Transportes Aéreos Regionales (TAR),669
2025M05,Vivaaerobus (Aeroenlaces),14078
2025M05,Volaris (Concesionaria Vuela Cia de Aviación),11251
2025M06,Aeroméxico (Aerovías de México),7158
2025M06,Aeroméxico Connect (Aerolitoral),3853
2025M06,Aerus,563
2025M06,Magnicharters (Grupo Aéreo Monterrey),207
2025M06,Mexicana (Aerolínea del Estado Mexicano),386
2025M06,Transportes Aéreos Regionales (TAR),547
2025M06,Vivaaerobus (Aeroenlaces),13748
2025M06,Volaris (Concesionaria Vuela Cia de Aviación),10655
2025M07,Aeroméxico (Aerovías de México),7636
2025M07,Aeroméxico Connect (Aerolitoral),3260
2025M07,Aerus,739
2025M07,Magnicharters (Grupo Aéreo Monterrey),199
2025M07,Mexicana (Aerolínea del Estado Mexicano),436
2025M07,Transportes Aéreos Regionales (TAR),680
2025M07,Vivaaerobus (Aeroenlaces),14845
2025M07,Volaris (Concesionaria Vuela Cia de Aviación),11683
2025M08,Aeroméxico (Aerovías de México),6984
2025M08,Aeroméxico Connect (Aerolitoral),3751
2025M08,Aerus,716
2025M08,Magnicharters (Grupo Aéreo Monterrey),202
2025M08,Mexicana (Aerolínea del Estado Mexicano),448
2025M08,Transportes Aéreos Regionales (TAR),640
2025M08,Vivaaerobus (Aeroenlaces),14450
2025M08,Volaris (Concesionaria Vuela Cia de Aviación),11448
2025M09,Aeroméxico (Aerovías de México),6821
2025M09,Aeroméxico Connect (Aerolitoral),3348
2025M09,Aerus,576
2025M09,Magnicharters (Grupo Aéreo Monterrey),180
2025M09,Mexicana (Aerolínea del Estado Mexicano),428
2025M09,Transportes Aéreos Regionales (TAR),655
2025M09,Vivaaerobus (Aeroenlaces),13207
2025M09,Volaris (Concesionaria Vuela Cia de Aviación),10334
2025M10,Aeroméxico (Aerovías de México),7168
2025M10,Aeroméxico Connect (Aerolitoral),3701
2025M10,Aerus,592
2025M10,Magnicharters (Grupo Aéreo Monterrey),142
2025M10,Mexicana (Aerolínea del Estado Mexicano),442
2025M10,Transportes Aéreos Regionales (TAR),631
2025M10,Vivaaerobus (Aeroenlaces),13772
2025M10,Volaris (Concesionaria Vuela Cia de Aviación),10650
2025M11,Aeroméxico (Aerovías de México),6800
2025M11,Aeroméxico Connect (Aerolitoral),4196
2025M11,Aerus,535
2025M11,Magnicharters (Grupo Aéreo Monterrey),171
2025M11,Mexicana (Aerolínea del Estado Mexicano),428
2025M11,Transportes Aéreos Regionales (TAR),639
2025M11,Vivaaerobus (Aeroenlaces),14506
2025M11,Volaris (Concesionaria Vuela Cia de Aviación),11234
2025M12,Aeroméxico (Aerovías de México),7017
2025M12,Aeroméxico Connect (Aerolitoral),3871
2025M12,Aerus,528
2025M12,Magnicharters (Grupo Aéreo Monterrey),166
2025M12,Mexicana (Aerolínea del Estado Mexicano),504
2025M12,Transportes Aéreos Regionales (TAR),814
2025M12,Vivaaerobus (Aeroenlaces),15109
2025M12,Volaris (Concesionaria Vuela Cia de Aviación),12281
2026M01,Aeroméxico (Aerovías de México),6925
2026M01,Aeroméxico Connect (Aerolitoral),4038
2026M01,Aerus,457
2026M01,Mexicana (Aerolínea del Estado Mexicano),630
2026M01,Transportes Aéreos Regionales (TAR),728
2026M01,Vivaaerobus (Aeroenlaces),13939
2026M01,Volaris (Concesionaria Vuela Cia de Aviación),11367
2026M02,Aeroméxico (Aerovías de México),6157
2026M02,Aeroméxico Connect (Aerolitoral),3874
2026M02,Aerus,438
2026M02,Mexicana (Aerolínea del Estado Mexicano),613
2026M02,Transportes Aéreos Regionales (TAR),563
2026M02,Vivaaerobus (Aeroenlaces),11712
2026M02,Volaris (Concesionaria Vuela Cia de Aviación),9486
2026M03,Aeroméxico (Aerovías de México),7036
2026M03,Aeroméxico Connect (Aerolitoral),4114
2026M03,Aerus,534
2026M03,Mexicana (Aerolínea del Estado Mexicano),687
2026M03,Transportes Aéreos Regionales (TAR),586
2026M03,Vivaaerobus (Aeroenlaces),13265
2026M03,Volaris (Concesionaria Vuela Cia de Aviación),11057
2026M04,Aeroméxico (Aerovías de México),7251
2026M04,Aeroméxico Connect (Aerolitoral),3716
2026M04,Aerus,531
2026M04,Mexicana (Aerolínea del Estado Mexicano),654
2026M04,Transportes Aéreos Regionales (TAR),519
2026M04,Vivaaerobus (Aeroenlaces),13502
2026M04,Volaris (Concesionaria Vuela Cia de Aviación),11446
2026M05,Aeroméxico (Aerovías de México),7402
