period_id,carrier_name,carrier_block,pasajeros
2026M01,Aerolíneas Argentinas,foreign,13361
2026M01,Aerorepública,foreign,4740
2026M01,Air Canada,foreign,236779
2026M01,Air Caraïbes,foreign,9163
2026M01,Air Europa (Air España),foreign,10509
2026M01,Air France (Société Air France),foreign,61064
2026M01,Air Transat (Transat A. T.),foreign,118820
2026M01,Alaska Airlines,foreign,210483
2026M01,All Nippon Airways LTD,foreign,9717
2026M01,American Airlines,foreign,679048
2026M01,Arajet,foreign,18004
2026M01,Avianca (Aerovías del Continente Americano),foreign,90277
2026M01,Breeze Airways,foreign,731
2026M01,British Airways,foreign,28138
2026M01,China Southern Airlines,foreign,3587
2026M01,CommutAir,foreign,4704
2026M01,Condor,foreign,22305
2026M01,Conviasa,foreign,3971
2026M01,Copa (Compañía Panameña de Aviación),foreign,132506
2026M01,Delta Airlines,foreign,463643
2026M01,Edelweiss (Edelweiss Air Ag) Air Ag,foreign,7220
2026M01,Emirates Arabes,foreign,18355
2026M01,"Envoy Air, Inc",foreign,74660
2026M01,Eurowings Discover,foreign,8948
2026M01,Evelop Airlines,foreign,10420
2026M01,Flair Airlines,foreign,60705
2026M01,Frontier,foreign,53393
2026M01,GOL Linhas Aéreas,foreign,5673
2026M01,Iberia (Iberia Líneas Aéreas de España),foreign,59378
2026M01,Jet Blue Air (Jet Blue Airways Corporation),foreign,87629
2026M01,K L M (Royal Dutch Airlines),foreign,21603
2026M01,Lacsa (Líneas Aéreas Costarricences),foreign,17495
2026M01,Lan Chile Airlines (Línea Aérea Nacional De Chile),foreign,17528
2026M01,Lanperu,foreign,35048
2026M01,Lufthansa (Deutsche Lufthansa AG),foreign,27710
2026M01,"Mesa Airlines (Mesa Airlines, Inc.)",foreign,42173
2026M01,Neos Air (Neos S.P.A.),foreign,5845
2026M01,Orbest,foreign,0
2026M01,Porter Airlines,foreign,32114
2026M01,SKY Airline Perú,foreign,9691
2026M01,Skywest Airlines,foreign,43860
2026M01,Southwest Airlines,foreign,154798
2026M01,Spirit Airlines,foreign,50324
2026M01,Sun Country,foreign,42294
2026M01,TAM Linhas Aereas,foreign,14163
2026M01,TAP Air Portugal,foreign,5717
2026M01,TUI Airways,foreign,26387
2026M01,Taca (Taca International Airlines),foreign,12374
2026M01,Transportes Aéreos Guatemaltecos (TAG),foreign,189
2026M01,Tropic Air Limited,foreign,587
2026M01,Tui Nederland,foreign,3949
2026M01,Turkish Airlines,foreign,21667
2026M01,"United Airlines, Inc.",foreign,518477
2026M01,Volaris Costa Rica,foreign,24932
2026M01,Volaris El Salvador,foreign,5576
2026M01,West Jet (Westjet Airlines Ltd),foreign,468492
2026M01,World 2 Fly,foreign,11786
2026M01,Aeroméxico (Aerovías de México),national,702094
2026M01,Aeroméxico Connect (Aerolitoral),national,46688
2026M01,Aerus,national,289
2026M01,Vivaaerobus (Aeroenlaces),national,265892
2026M01,Volaris (Concesionaria Vuela Cia de Aviación),national,658345
2026M02,Aerolíneas Argentinas,foreign,11572
2026M02,Aerorepública,foreign,0
2026M02,Air Canada,foreign,222249
2026M02,Air Caraïbes,foreign,8950
2026M02,Air Europa (Air España),foreign,9178
2026M02,Air France (Société Air France),foreign,52293
2026M02,Air Transat (Transat A. T.),foreign,114787
2026M02,Alaska Airlines,foreign,178109
2026M02,All Nippon Airways LTD,foreign,8302
2026M02,American Airlines,foreign,605724
2026M02,Arajet,foreign,15961
2026M02,Avianca (Aerovías del Continente Americano),foreign,79249
2026M02,Breeze Airways,foreign,1879
2026M02,British Airways,foreign,25542
2026M02,China Southern Airlines,foreign,1558
2026M02,CommutAir,foreign,4458
2026M02,Condor,foreign,19800
2026M02,Conviasa,foreign,1501
2026M02,Copa (Compañía Panameña de Aviación),foreign,115617
2026M02,Delta Airlines,foreign,417741
2026M02,Edelweiss (Edelweiss Air Ag) Air Ag,foreign,6779
2026M02,Emirates Arabes,foreign,15132
2026M02,"Envoy Air, Inc",foreign,65559
2026M02,Eurowings Discover,foreign,7272
2026M02,Evelop Airlines,foreign,9683
2026M02,Flair Airlines,foreign,56604
2026M02,Frontier,foreign,62209
2026M02,GOL Linhas Aéreas,foreign,4625
2026M02,Iberia (Iberia Líneas Aéreas de España),foreign,50631
2026M02,Jet Blue Air (Jet Blue Airways Corporation),foreign,87039
2026M02,K L M (Royal Dutch Airlines),foreign,20033
2026M02,Lacsa (Líneas Aéreas Costarricences),foreign,13058
2026M02,Lan Chile Airlines (Línea Aérea Nacional De Chile),foreign,15421
2026M02,Lanperu,foreign,33110
2026M02,Lufthansa (Deutsche Lufthansa AG),foreign,24038
2026M02,"Mesa Airlines (Mesa Airlines, Inc.)",foreign,36976
2026M02,Neos Air (Neos S.P.A.),foreign,5258
2026M02,Orbest,foreign,0
2026M02,Porter Airlines,foreign,33654
2026M02,SKY Airline Perú,foreign,9095
2026M02,Skywest Airlines,foreign,39252
2026M02,Southwest Airlines,foreign,151259
2026M02,Spirit Airlines,foreign,56486
2026M02,Sun Country,foreign,56021
2026M02,TAM Linhas Aereas,foreign,12878
2026M02,TAP Air Portugal,foreign,6611
2026M02,TUI Airways,foreign,23660
2026M02,Taca (Taca International Airlines),foreign,9803
