afac_city,airport_iata
ACAPULCO,ACA
AGUASCALIENTES,AGU
CAMPECHE,CPE
CANCUN,CUN
CHETUMAL,CTM
CHIHUAHUA,CUU
CIUDAD DEL CARMEN,CME
CIUDAD JUAREZ,CJS
CIUDAD OBREGON,CEN
COLIMA,CLQ
COZUMEL,CZM
CULIACAN,CUL
DEL BAJIO,BJX
DURANGO,DGO
GUADALAJARA,GDL
HERMOSILLO,HMO
HUATULCO,HUX
IXTAPA ZIHUATANEJO,ZIH
LA PAZ,LAP
LORETO,LTO
LOS MOCHIS,LMM
MANZANILLO,ZLO
MATAMOROS,MAM
MAZATLAN,MZT
MERIDA,MID
MEXICALI,MXL
MEXICO,MEX
MINATITLAN,MTT
MONTERREY,MTY
MORELIA,MLM
NUEVO LAREDO,NLD
OAXACA,OAX
PUEBLA,PBC
PUERTO ESCONDIDO,PXM
PUERTO VALLARTA,PVR
QUERETARO,QRO
REYNOSA,REX
SAN JOSÉ DEL CABO,SJD
SAN LUIS POTOSI,SLP
SANTA LUCÍA,NLU
TAMPICO,TAM
TAPACHULA,TAP
TEPIC,TPQ
TIJUANA,TIJ
TOLUCA,TLC
TORREON,TRC
TULUM,TQO
TUXTLA GUTIERREZ,TGZ
URUAPAN,UPN
VERACRUZ,VER
VILLAHERMOSA,VSA
ZACATECAS,ZCL
