afac_carrier_name,carrier_block,carrier_key,iata,icao,confidence,evidence
Aeroméxico (Aerovías de México),national,AEROMEXICO,AM,AMX,resolved,config/carrier_crosswalk.csv
Aeroméxico Connect (Aerolitoral),national,AEROMEXICO_CONNECT,5D,SLI,resolved,config/carrier_crosswalk.csv
Volaris (Concesionaria Vuela Cia de Aviación),national,VOLARIS,Y4,VOI,resolved,src/ingest/aerodatabox/flights.py CARRIER_BY_IATA
Vivaaerobus (Aeroenlaces),national,VIVA_AEROBUS,VB,VIV,resolved,src/ingest/aerodatabox/flights.py CARRIER_BY_IATA
Aerus,national,AERUS,,,unresolved,Opera sin codigo IATA publicado; el adaptador nacional la resuelve por nombre
American Airlines,foreign,AMERICAN,AA,AAL,resolved,Observada como IATA:AA en el sondeo 2026-09-10
"United Airlines, Inc.",foreign,UNITED,UA,UAL,resolved,Observada como IATA:UA en el sondeo 2026-09-10
Delta Airlines,foreign,DELTA,DL,DAL,resolved,Observada como IATA:DL en el sondeo 2026-09-10
Copa (Compañía Panameña de Aviación),foreign,COPA,CM,CMP,resolved,Observada como IATA:CM en el sondeo 2026-09-10
Avianca (Aerovías del Continente Americano),foreign,AVIANCA,AV,AVA,resolved,Observada como IATA:AV en el sondeo 2026-09-10
Air Canada,foreign,AIR_CANADA,AC,ACA,resolved,Observada como IATA:AC en el sondeo 2026-09-10
"Envoy Air, Inc",foreign,ENVOY,MQ,ENY,resolved,Observada como IATA:MQ en el sondeo 2026-09-10
Iberia (Iberia Líneas Aéreas de España),foreign,IBERIA,IB,IBE,resolved,Observada como IATA:IB en el sondeo 2026-09-10
Air France (Société Air France),foreign,AIR_FRANCE,AF,AFR,resolved,Observada como IATA:AF en el sondeo 2026-09-10
Volaris Costa Rica,foreign,VOLARIS_COSTA_RICA,Q6,VOC,resolved,Observada como IATA:Q6 en el sondeo 2026-09-10
Southwest Airlines,foreign,BTS_AIRLINE_ID_19393,WN,SWA,resolved,config/carrier_crosswalk.csv airline_id 19393
Alaska Airlines,foreign,ALASKA,AS,ASA,probable,Virgin America se fusiono con Alaska en 2018; el parentesis de AFAC es historico
Jet Blue Air (Jet Blue Airways Corporation),foreign,JETBLUE,B6,JBU,resolved,Denominacion social completa en la etiqueta AFAC
Frontier,foreign,FRONTIER,F9,FFT,resolved,Unica aerolinea de ese nombre con servicio a Mexico
Spirit Airlines,foreign,SPIRIT,NK,NKS,resolved,Unica aerolinea de ese nombre con servicio a Mexico
Sun Country,foreign,SUN_COUNTRY,SY,SCX,resolved,Unica aerolinea de ese nombre con servicio a Mexico
