afac_city,afac_country,airport_iata,match_method,city_spread_km
FRANKFURT,Alemania,FRA,override_airport,0.0
MUNICH,Alemania,MUC,city_exact,0.0
BUENOS AIRES,Argentina,AEP,override_airport,31.2
BUENOS AIRES,Argentina,EZE,override_airport,31.2
LIÈGE,Belgica,LGG,override_airport,0.0
BELICE,Belice,BZE,override_city,11.7
BELICE,Belice,TZA,override_city,11.7
BRASILIA,Brasil,BSB,city_exact,0.0
CAMPINAS,Brasil,VCP,city_exact,0.0
SAO PAULO,Brasil,CGH,city_exact,28.8
SAO PAULO,Brasil,GRU,city_exact,28.8
SAO PAULO,Brasil,RTE,city_exact,28.8
Seoul,COREA DEL SUR,GMP,city_exact,31.6
Seoul,COREA DEL SUR,ICN,city_exact,31.6
ABBOTSFORD,Canada,YXX,city_exact,0.0
CALGARY,Canada,YYC,city_exact,0.0
CHARLOTTETOWN,Canada,YYG,city_exact,0.0
COMOX,Canada,YQQ,city_exact,0.0
DEER LAKE,Canada,YDF,city_exact,0.0
EDMONTON,Canada,YEG,city_exact,0.0
"Fredericton, Canada",Canada,YFC,override_city,0.0
"GANDER, Canadá",Canada,YQX,override_city,0.0
HALIFAX,Canada,YHZ,city_exact,0.0
HAMILTON,Canada,YHM,city_exact,0.0
KELOWNA,Canada,YLW,city_exact,0.0
KITCHENER,Canada,YKF,override_airport,0.0
"LONDON, ONTARIO",Canada,YXU,override_airport,0.0
MONCTON,Canada,YQM,city_exact,0.0
MONTREAL,Canada,YHU,city_exact,51.6
MONTREAL,Canada,YMX,city_exact,51.6
MONTREAL,Canada,YUL,city_exact,51.6
OTTAWA,Canada,YOW,city_exact,15.5
OTTAWA,Canada,YRO,city_exact,15.5
PRINCE GEORGE,Canada,YXS,city_exact,0.0
QUEBEC,Canada,YQB,city_exact,0.0
"REGINA, Canada",Canada,YQR,override_city,0.0
SASKATOON,Canada,YXE,city_exact,0.0
ST. JOHN'S,Canada,YYT,city_exact,0.0
THUNDER BAY,Canada,YQT,city_exact,0.0
TORONTO,Canada,YTZ,city_exact,19.6
TORONTO,Canada,YYZ,city_exact,19.6
VANCOUVER,Canada,YVR,city_exact,0.0
"VICTORIA, COLUMBIA",Canada,YYJ,override_city,0.0
WINDSOR,Canada,YQG,city_exact,0.0
WINNIPEG,Canada,YWG,city_exact,0.0
SANTIAGO DE CHILE,Chile,SCL,override_city,0.0
"HANGZHOU, China",China,HGH,override_airport,0.0
SHANGHAI,China,PVG,override_city,45.2
SHANGHAI,China,SHA,override_airport,45.2
SHENZHEN,China,SZX,city_exact,0.0
WUXI,China,WUX,city_exact,0.0
BOGOTA,Colombia,BOG,city_exact,0.0
CALI,Colombia,CLO,city_exact,0.0
CARTAGENA DE INDIAS,Colombia,CTG,override_city,0.0
MEDELLIN,Colombia,EOH,city_exact,19.5
MEDELLIN,Colombia,MDE,city_exact,19.5
"SAN JOSE, COSTA RICA",Costa Rica,SJO,override_city,8.6
"SAN JOSE, COSTA RICA",Costa Rica,SYQ,override_airport,8.6
CAMAGUEY,Cuba,CMW,city_exact,0.0
LA HABANA,Cuba,HAV,override_city,0.0
QUITO,Ecuador,UIO,city_exact,0.0
SAN SALVADOR,El Salvador,SAL,override_airport,0.0
