period_id,origen,pais_origen,destino,pais_destino,vuelos,pasajeros
2026M01,ABBOTSFORD,Canada,PUERTO VALLARTA,Mexico,4,516
2026M01,ACAPULCO,Mexico,DALLAS-FORT WORTH,Estados Unidos,9,575
2026M01,ACAPULCO,Mexico,HOUSTON,Estados Unidos,13,812
2026M01,ACAPULCO,Mexico,MONTREAL,Canada,4,397
2026M01,AGUASCALIENTES,Mexico,CHICAGO,Estados Unidos,20,3485
2026M01,AGUASCALIENTES,Mexico,DALLAS-FORT WORTH,Estados Unidos,59,3776
2026M01,AGUASCALIENTES,Mexico,HOUSTON,Estados Unidos,53,3211
2026M01,AGUASCALIENTES,Mexico,LOS ANGELES,Estados Unidos,21,3487
2026M01,AMSTERDAM,Paises Bajos,CANCUN,Mexico,9,2162
2026M01,AMSTERDAM,Paises Bajos,MEXICO,Mexico,74,17415
2026M01,ATLANTA,Estados Unidos,CANCUN,Mexico,230,31531
2026M01,ATLANTA,Estados Unidos,COZUMEL,Mexico,29,3285
2026M01,ATLANTA,Estados Unidos,DEL BAJIO,Mexico,27,1996
2026M01,ATLANTA,Estados Unidos,GUADALAJARA,Mexico,36,5271
2026M01,ATLANTA,Estados Unidos,MEXICO,Mexico,128,17919
2026M01,ATLANTA,Estados Unidos,MONTERREY,Mexico,52,4672
2026M01,ATLANTA,Estados Unidos,PUERTO VALLARTA,Mexico,41,5591
2026M01,ATLANTA,Estados Unidos,QUERETARO,Mexico,29,2288
2026M01,ATLANTA,Estados Unidos,SAN JOSÉ DEL CABO,Mexico,58,7884
2026M01,ATLANTA,Estados Unidos,SAN LUIS POTOSI,Mexico,23,1328
2026M01,ATLANTA,Estados Unidos,TULUM,Mexico,30,4050
2026M01,AUSTIN,Estados Unidos,CANCUN,Mexico,46,4257
2026M01,AUSTIN,Estados Unidos,MEXICO,Mexico,31,4081
2026M01,AUSTIN,Estados Unidos,MONTERREY,Mexico,16,1539
2026M01,AUSTIN,Estados Unidos,PUERTO VALLARTA,Mexico,1,111
2026M01,AUSTIN,Estados Unidos,SAN JOSÉ DEL CABO,Mexico,33,1739
2026M01,BALTIMORE,Estados Unidos,CANCUN,Mexico,90,10420
2026M01,BALTIMORE,Estados Unidos,SAN JOSÉ DEL CABO,Mexico,1,73
2026M01,"BARCELONA, España",España,CANCUN,Mexico,0,0
2026M01,"BARCELONA, España",España,MEXICO,Mexico,31,7607
2026M01,BELFAST,Reino Unido,CANCUN,Mexico,0,0
2026M01,BELICE,Belice,CANCUN,Mexico,28,292
2026M01,"BIRMINGHAM, INGLATERRA",Reino Unido,CANCUN,Mexico,8,2508
2026M01,BOGOTA,Colombia,CANCUN,Mexico,120,19189
2026M01,BOGOTA,Colombia,GUADALAJARA,Mexico,19,3230
2026M01,BOGOTA,Colombia,MEXICO,Mexico,216,33369
2026M01,BOGOTA,Colombia,MONTERREY,Mexico,27,4065
2026M01,BOGOTA,Colombia,SANTA LUCÍA,Mexico,56,7639
