period_id,origen,destino,vuelos,pasajeros
2024M01,ACAPULCO,CANCUN,0,0
2024M01,ACAPULCO,DEL BAJIO,2,94
2024M01,ACAPULCO,GUADALAJARA,26,3522
2024M01,ACAPULCO,IXTAPA ZIHUATANEJO,0,0
2024M01,ACAPULCO,"Ixtepec, Oaxaca",0,0
2024M01,ACAPULCO,MEXICO,95,8739
2024M01,ACAPULCO,MONTERREY,0,0
2024M01,ACAPULCO,SANTA LUCÍA,7,876
2024M01,ACAPULCO,TIJUANA,36,6474
2024M01,AGUASCALIENTES,CANCUN,18,3129
2024M01,AGUASCALIENTES,MEXICO,118,11173
2024M01,AGUASCALIENTES,MONTERREY,13,361
2024M01,AGUASCALIENTES,PUERTO VALLARTA,17,484
2024M01,AGUASCALIENTES,TIJUANA,56,9926
2024M01,CAMPECHE,MEXICO,57,5023
2024M01,CAMPECHE,SANTA LUCÍA,9,223
2024M01,CAMPECHE,VILLAHERMOSA,0,0
2024M01,CANCUN,ACAPULCO,0,0
2024M01,CANCUN,AGUASCALIENTES,18,3024
2024M01,CANCUN,CHETUMAL,0,0
2024M01,CANCUN,CHIHUAHUA,36,7006
2024M01,CANCUN,CIUDAD JUAREZ,61,10514
2024M01,CANCUN,COZUMEL,0,0
2024M01,CANCUN,CULIACAN,13,2017
2024M01,CANCUN,DEL BAJIO,89,16645
2024M01,CANCUN,GUADALAJARA,193,38636
2024M01,CANCUN,HERMOSILLO,8,1482
2024M01,CANCUN,MERIDA,17,0
2024M01,CANCUN,MEXICALI,20,3372
2024M01,CANCUN,MEXICO,845,150196
2024M01,CANCUN,MONTERREY,300,54362
2024M01,CANCUN,MORELIA,13,2089
2024M01,CANCUN,OAXACA,30,4768
2024M01,CANCUN,PUEBLA,73,13095
2024M01,CANCUN,QUERETARO,69,12555
2024M01,CANCUN,REYNOSA,19,2523
2024M01,CANCUN,SAN JOSÉ DEL CABO,0,0
2024M01,CANCUN,SAN LUIS POTOSI,15,2486
2024M01,CANCUN,SANTA LUCÍA,224,37503
2024M01,CANCUN,TAMPICO,10,1512
2024M01,CANCUN,TIJUANA,126,24135
2024M01,CANCUN,TOLUCA,95,16440
2024M01,CANCUN,TORREON,9,1402
2024M01,CANCUN,TUXTLA GUTIERREZ,66,10882
2024M01,CANCUN,VERACRUZ,63,10074
2024M01,CANCUN,VILLAHERMOSA,31,4747
2024M01,CHETUMAL,CANCUN,0,0
2024M01,CHETUMAL,HERMOSILLO,0,0
2024M01,CHETUMAL,MEXICO,94,15281
