period_id,operating,financial,costs,verified_releases,fx_months,fuel_months,afac_months,airport_months_with_any_data,airport_group_months_with_any_data,any_peer_revenue,cutoff_date,temporal_status,sec_filing_candidate,gaps
2021Q1,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2021Q2,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2021Q3,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2021Q4,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2022Q1,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2022Q2,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2022Q3,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2022Q4,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2023Q1,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2023Q2,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2023Q3,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2023Q4,5/5,0/6,0/8,1,3,3,0,0,0,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2024Q1,5/5,0/6,0/8,1,3,3,0,2,3,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2024Q2,5/5,0/6,0/8,1,3,3,0,3,3,True,,not_verified,,publication_and_version_proof_missing;historical_extraction_missing
2024Q3,5/5,6/6,8/8,1,3,3,0,3,3,True,,not_verified,2025-11-12,publication_and_version_proof_missing;financial_values_from_later_comparative
2024Q4,5/5,6/6,8/8,1,3,3,0,1,1,True,,not_verified,2026-02-17,publication_and_version_proof_missing;financial_values_from_later_comparative
2025Q1,5/5,6/6,8/8,1,3,3,0,3,3,True,,not_verified,2026-04-23,publication_and_version_proof_missing;financial_values_from_later_comparative
2025Q2,5/5,6/6,8/8,1,3,3,0,3,3,True,,not_verified,2026-07-13,publication_and_version_proof_missing;financial_values_from_later_comparative
2025Q3,5/5,6/6,8/8,1,3,3,0,3,3,True,,not_verified,2025-11-12,publication_and_version_proof_missing
2025Q4,5/5,6/6,8/8,1,3,3,0,1,1,True,,not_verified,2026-02-17,publication_and_version_proof_missing
2026Q1,5/5,6/6,8/8,1,3,3,0,3,3,True,,not_verified,2026-04-23,publication_and_version_proof_missing
2026Q2,5/5,6/6,8/8,1,3,3,0,3,3,True,,not_verified,2026-07-13,publication_and_version_proof_missing
