period_id,before,extracted_targets,other_definitions,documented_gaps,scope
2021Q1,0,10,5,4,Extraído de su propio reporte
2021Q2,0,10,5,4,Extraído de su propio reporte
2021Q3,0,10,5,4,Extraído de su propio reporte
2021Q4,0,9,9,5,Extraído de su propio reporte
2022Q1,0,9,9,5,Extraído de su propio reporte
2022Q2,0,10,5,4,Extraído de su propio reporte
2022Q3,0,10,5,4,Extraído de su propio reporte
2022Q4,0,13,5,1,Extraído de su propio reporte
2023Q1,0,12,4,2,Extraído de su propio reporte
2023Q2,0,12,4,2,Extraído de su propio reporte
2023Q3,0,12,4,2,Extraído de su propio reporte
2023Q4,0,13,4,1,Extraído de su propio reporte
2024Q1,0,14,2,0,Extraído de su propio reporte
2024Q2,0,14,2,0,Extraído de su propio reporte
2024Q3,14,14,2,0,Extraído de su propio reporte
2024Q4,14,14,2,0,Extraído de su propio reporte
2025Q1,14,14,2,0,Extraído de su propio reporte
2025Q2,14,14,2,0,Extraído de su propio reporte
2025Q3,14,0,0,0,Cobertura vigente; fuera del alcance de extracción de Etapa 13
2025Q4,14,0,0,0,Cobertura vigente; fuera del alcance de extracción de Etapa 13
2026Q1,14,0,0,0,Cobertura vigente; fuera del alcance de extracción de Etapa 13
2026Q2,14,0,0,0,Cobertura vigente; fuera del alcance de extracción de Etapa 13
