period_id,seed_metric,routes,observations,share_mae_pp,passenger_error_pct
2025M01,departures,224.0,571.0,2.129522171362599,6.298392846767402
2025M02,departures,210.0,534.0,2.4354821427702307,7.189798847327453
2025M03,departures,228.0,593.0,2.057593984940112,6.16932024361198
2025M04,departures,212.0,550.0,2.054278520772786,6.2554299185372235
2025M05,departures,190.0,491.0,2.0536195642356314,6.306062746648228
2025M06,departures,197.0,503.0,1.5573738072815453,4.8573489600683875
2025M07,departures,189.0,486.0,1.779995706401199,5.517932026099332
2025M08,departures,198.0,512.0,1.8073248978845096,5.731174659812998
2025M09,departures,140.0,349.0,2.2634342292171135,6.5183143562497605
2025M10,departures,168.0,430.0,1.7724618660423703,5.283288951447596
2025M11,departures,192.0,484.0,2.0695120958839466,6.192502781313799
2025M12,departures,239.0,615.0,1.7442898015008275,5.180205089266322
